combination,train_accuracy,val_accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
300,0.7788261515601783,0.7683850839399792,0.3,1.0,5,100,100
301,0.8851040118870728,0.7677908186005051,0.3,1.0,8,1,10
302,0.9988484398216939,0.7609567671965533,0.3,1.0,8,1,50
303,0.999925705794948,0.7645223592333977,0.3,1.0,8,1,100
304,0.8314264487369986,0.7734363393255088,0.3,1.0,8,10,10
305,0.9178306092124814,0.7738820383301144,0.3,1.0,8,10,50
306,0.9461738484398217,0.7726935076511663,0.3,1.0,8,10,100
307,0.7812035661218425,0.7680879512702422,0.3,1.0,8,100,10
308,0.7846953937592868,0.7716535433070866,0.3,1.0,8,100,50
309,0.7846953937592868,0.7716535433070866,0.3,1.0,8,100,100
310,0.9526745913818722,0.7612538998662903,0.3,1.0,10,1,10
311,0.999925705794948,0.7698707472886643,0.3,1.0,10,1,50
312,0.999925705794948,0.76630515525182,0.3,1.0,10,1,100
313,0.8491084695393759,0.7715049769722181,0.3,1.0,10,10,10
314,0.937258543833581,0.7720992423116921,0.3,1.0,10,10,50
315,0.9605869242199109,0.7698707472886643,0.3,1.0,10,10,100
316,0.7825408618127786,0.7722478086465607,0.3,1.0,10,100,10
317,0.7860326894502229,0.7732877729906403,0.3,1.0,10,100,50
318,0.7860326894502229,0.7732877729906403,0.3,1.0,10,100,100
319,0.7084323922734027,0.7068786213044124,0.5,0.001,3,1,10
320,0.7094725111441308,0.7079185856484921,0.5,0.001,3,1,50
321,0.7140044576523031,0.711335611350468,0.5,0.001,3,1,100
322,0.7081352154531947,0.7065814886346754,0.5,0.001,3,10,10
323,0.712072808320951,0.7105927796761254,0.5,0.001,3,10,50
324,0.7140416047548291,0.7120784430248106,0.5,0.001,3,10,100
325,0.7024145616641901,0.7010845342445402,0.5,0.001,3,100,10
326,0.7030832095096582,0.7016787995840142,0.5,0.001,3,100,50
327,0.7044205052005944,0.7034615956024365,0.5,0.001,3,100,100
328,0.7538261515601783,0.7466943990491755,0.5,0.001,5,1,10
329,0.7524517087667162,0.7422374090031199,0.5,0.001,5,1,50
330,0.7537890044576523,0.7425345416728569,0.5,0.001,5,1,100
331,0.7510401188707281,0.7438716386866736,0.5,0.001,5,10,10
332,0.7480683506686479,0.7386718169662755,0.5,0.001,5,10,50
333,0.7483655274888559,0.7365918882781162,0.5,0.001,5,10,100
334,0.7231054977711738,0.7162383004011291,0.5,0.001,5,100,10
335,0.7263001485884101,0.7198038924379736,0.5,0.001,5,100,50
336,0.7266716196136701,0.7223295201307384,0.5,0.001,5,100,100
337,0.7935735512630014,0.7624424305452384,0.5,0.001,8,1,10
338,0.7949479940564635,0.7622938642103699,0.5,0.001,8,1,50
339,0.7962109955423476,0.76630515525182,0.5,0.001,8,1,100
340,0.7813150074294205,0.7569454761551032,0.5,0.001,8,10,10
341,0.7791604754829123,0.7596196701827366,0.5,0.001,8,10,50
342,0.7802748885586924,0.7594711038478681,0.5,0.001,8,10,100
343,0.736552748885587,0.7239637498142921,0.5,0.001,8,100,10
344,0.737184249628529,0.7270836428465309,0.5,0.001,8,100,50
345,0.7402303120356613,0.7322834645669292,0.5,0.001,8,100,100
346,0.825074294205052,0.7582825731689199,0.5,0.001,10,1,10
347,0.826151560178306,0.7618481652057644,0.5,0.001,10,1,50
348,0.824888558692422,0.762888129549844,0.5,0.001,10,1,100
349,0.7890787518573551,0.7544198484623384,0.5,0.001,10,10,10
350,0.7898216939078752,0.7579854404991829,0.5,0.001,10,10,50
351,0.7890416047548291,0.7582825731689199,0.5,0.001,10,10,100
352,0.736961367013373,0.7245580151537662,0.5,0.001,10,100,10
353,0.7391158989598812,0.727975040855742,0.5,0.001,10,100,50
354,0.7411589895988113,0.7328777299064032,0.5,0.001,10,100,100
355,0.7148959881129272,0.7107413460109939,0.5,0.01,3,1,10
356,0.7192050520059435,0.7187639280938939,0.5,0.01,3,1,50
357,0.7262630014858841,0.7258951121675828,0.5,0.01,3,1,100
358,0.7140416047548291,0.7120784430248106,0.5,0.01,3,10,10
359,0.7155274888558693,0.715346902391918,0.5,0.01,3,10,50
360,0.72537147102526,0.7248551478235032,0.5,0.01,3,10,100
361,0.7043833580980684,0.7034615956024365,0.5,0.01,3,100,10
362,0.7080237741456167,0.711632744020205,0.5,0.01,3,100,50
363,0.7137072808320951,0.7154954687267865,0.5,0.01,3,100,100
364,0.7532689450222882,0.7432773733471996,0.5,0.01,5,1,10
365,0.7608469539375928,0.7510028227603625,0.5,0.01,5,1,50
366,0.7641158989598811,0.7541227157926014,0.5,0.01,5,1,100
367,0.749702823179792,0.7362947556083791,0.5,0.01,5,10,10
368,0.7552005943536404,0.7459515673748328,0.5,0.01,5,10,50
369,0.7605126300148588,0.7521913534393107,0.5,0.01,5,10,100
370,0.7287147102526003,0.723666617144555,0.5,0.01,5,100,10
371,0.7264487369985141,0.7235180508096866,0.5,0.01,5,100,50
372,0.7378900445765231,0.7336205615807458,0.5,0.01,5,100,100
373,0.7970282317979198,0.7654137572426088,0.5,0.01,8,1,10
374,0.8028974739970283,0.7670479869261625,0.5,0.01,8,1,50
375,0.8086924219910847,0.7720992423116921,0.5,0.01,8,1,100
376,0.7804606240713224,0.7605110681919477,0.5,0.01,8,10,10
377,0.7849554234769688,0.7611053335314217,0.5,0.01,8,10,50
378,0.7887444279346211,0.7654137572426088,0.5,0.01,8,10,100
379,0.7407132243684993,0.7322834645669292,0.5,0.01,8,100,10
380,0.7461738484398217,0.739117515970881,0.5,0.01,8,100,50
381,0.7517830609212481,0.7426831080077254,0.5,0.01,8,100,100
382,0.82592867756315,0.7645223592333977,0.5,0.01,10,1,10
383,0.837295690936107,0.7671965532610311,0.5,0.01,10,1,50
384,0.8449479940564636,0.770910711632744,0.5,0.01,10,1,100
385,0.7893387815750371,0.7587282721735255,0.5,0.01,10,10,10
386,0.7921619613670133,0.7630366958847126,0.5,0.01,10,10,50
387,0.7976597325408619,0.76630515525182,0.5,0.01,10,10,100
388,0.7417161961367014,0.7331748625761403,0.5,0.01,10,100,10
389,0.749777117384844,0.7406031793195662,0.5,0.01,10,100,50
390,0.7529346210995542,0.7438716386866736,0.5,0.01,10,100,100
391,0.725668647845468,0.7251522804932402,0.5,0.1,3,1,10
392,0.763224368499257,0.7581340068340514,0.5,0.1,3,1,50
393,0.7813150074294205,0.7734363393255088,0.5,0.1,3,1,100
394,0.7227340267459138,0.7220323874610013,0.5,0.1,3,10,10
395,0.7613298662704309,0.7556083791412865,0.5,0.1,3,10,50
396,0.7786032689450223,0.7718021096419552,0.5,0.1,3,10,100
397,0.7154160475482912,0.7149012033873124,0.5,0.1,3,100,10
398,0.7511887072808321,0.7469915317189125,0.5,0.1,3,100,50
399,0.7645988112927191,0.758579705838657,0.5,0.1,3,100,100
400,0.7639301634472511,0.7535284504531273,0.5,0.1,5,1,10
401,0.7924591381872214,0.7774476303669589,0.5,0.1,5,1,50
402,0.8117384843982169,0.7764076660228793,0.5,0.1,5,1,100
403,0.7609583952451708,0.7529341851136533,0.5,0.1,5,10,10
404,0.7860698365527489,0.7731392066557718,0.5,0.1,5,10,50
405,0.799479940564636,0.7775961967018273,0.5,0.1,5,10,100
406,0.7358841010401189,0.7319863318971921,0.5,0.1,5,100,10
407,0.7658618127786033,0.7579854404991829,0.5,0.1,5,100,50
408,0.7778603268945022,0.7694250482840588,0.5,0.1,5,100,100
409,0.8075408618127786,0.770910711632744,0.5,0.1,8,1,10
